202,129,84,201,187,173,112,108,117,48,37,35
205,186,168,202,130,72,113,111,122,49,40,41
202,188,172,191,126,84,108,105,115,48,37,34
197,127,80,195,181,168,99,97,110,43,34,33
220,171,125,147,152,169,126,98,93,46,37,35
198,125,75,193,178,165,106,103,112,47,37,35
200,131,79,198,185,170,111,103,110,49,35,34
202,133,93,191,182,174,102,95,101,43,33,31
209,185,165,187,118,77,109,118,138,51,41,39
197,128,76,195,181,166,105,98,106,45,36,35
195,178,163,186,119,76,103,107,124,47,37,35
205,127,82,195,181,168,107,100,107,44,34,34
202,128,81,195,177,163,103,96,107,41,33,31
197,182,168,197,125,75,98,96,108,40,31,29
202,187,171,199,129,83,106,103,119,45,34,33
209,172,142,121,120,131,119,78,63,35,30,29
205,187,172,201,129,76,116,112,122,49,38,37
195,123,78,194,179,166,99,92,101,35,29,28
199,125,71,195,180,167,107,100,109,43,34,32
193,180,169,193,119,78,102,97,107,42,34,32
211,176,141,120,84,68,118,123,145,35,29,30
220,175,135,134,96,80,132,141,162,47,38,38
197,127,80,190,179,169,103,94,102,37,31,29
205,139,88,202,190,176,120,108,113,48,39,40
203,183,164,194,116,69,110,109,121,45,36,35
199,132,88,196,182,170,105,94,101,41,33,31
214,175,141,125,127,143,110,79,69,34,28,27
200,129,82,197,185,174,101,97,108,42,33,32
198,179,164,188,119,75,105,110,127,49,39,37
198,178,162,181,117,74,106,107,121,49,39,38
196,125,76,195,180,167,104,100,110,42,34,33
214,176,139,129,130,147,115,85,74,33,28,27
208,135,86,203,190,177,109,105,115,44,35,33
201,125,70,191,179,166,106,101,112,48,38,34
218,176,138,130,90,73,126,131,148,43,35,34
207,185,166,199,118,68,119,117,128,50,39,38
207,189,171,202,126,71,117,115,130,50,36,33
198,129,86,186,177,171,105,97,100,43,35,32
198,123,72,189,177,167,100,101,112,42,33,31
201,128,76,197,179,164,107,99,107,44,35,32
200,188,174,195,129,86,107,105,117,45,37,36
196,180,163,194,128,80,104,99,114,39,31,31
197,179,163,197,123,76,102,99,111,43,34,31
209,172,141,123,117,127,102,74,65,33,26,25
195,179,165,193,119,76,102,97,107,42,33,33
199,181,162,189,118,74,105,108,124,50,39,37
195,129,86,192,182,174,100,92,97,37,29,27
200,181,162,190,120,74,106,106,117,48,36,34
214,177,140,131,96,80,118,132,157,42,35,34
199,181,166,195,127,79,108,105,119,50,37,34
201,131,79,194,179,167,103,99,108,44,35,34
216,173,135,129,128,145,107,77,69,31,26,25
200,186,170,198,132,85,109,104,115,45,36,34
210,192,173,195,124,80,109,107,122,50,38,37
204,188,170,203,132,83,110,105,115,46,36,35
205,193,177,196,133,89,106,104,116,47,36,33
203,129,77,187,176,168,105,95,98,41,33,32
203,181,161,200,119,68,110,109,120,48,36,33
210,192,168,189,122,84,112,116,132,51,41,37
200,136,91,196,186,174,103,95,103,42,34,35
198,122,71,197,180,167,109,106,118,48,38,35
199,179,162,182,114,77,100,106,128,47,36,34
205,189,174,193,125,82,103,109,128,54,40,37
197,130,88,189,180,172,106,94,98,42,33,33
200,187,176,200,132,86,106,107,120,48,38,36
205,134,85,191,180,172,106,96,102,39,32,30
198,182,168,198,124,78,111,108,120,52,40,37
206,181,157,151,116,107,80,71,75,30,25,23
207,139,86,190,182,172,108,97,100,43,34,32
204,180,157,173,112,73,106,110,128,49,40,36
215,169,132,133,133,147,108,81,75,31,26,24
206,133,81,200,188,176,113,104,109,46,37,35
201,181,164,196,119,73,103,109,127,54,43,40
199,123,72,195,181,167,105,100,109,41,34,33
200,185,170,198,130,86,108,99,105,43,35,32
211,199,184,187,147,121,118,98,99,45,36,36
198,131,82,195,182,171,102,96,103,42,33,33
209,174,144,126,127,140,115,74,60,31,27,26
206,127,72,202,184,168,111,105,114,48,38,35
199,184,167,196,126,76,102,104,121,44,34,32
214,174,137,128,90,74,126,131,147,38,33,34
207,131,81,191,179,168,105,97,104,39,31,31
203,182,164,190,118,71,112,113,126,44,37,37
201,185,166,201,122,74,112,110,123,50,39,36
200,183,166,197,123,74,100,96,108,39,30,27
211,173,142,121,82,68,119,124,143,37,30,28
205,193,177,173,127,106,91,86,93,37,29,26
219,176,136,138,147,166,121,93,85,39,32,31
197,184,170,195,132,88,100,92,99,37,29,28
213,172,138,129,131,149,126,89,76,41,34,33
197,182,170,195,128,82,110,105,118,50,38,36
199,135,93,187,180,172,107,94,98,43,31,28
196,186,176,193,127,90,99,99,110,43,34,31
202,135,85,195,184,175,110,98,105,42,33,30
215,192,166,173,137,117,97,84,84,33,27,26
199,129,80,190,177,166,100,101,116,46,37,35
207,129,75,188,174,165,104,97,104,40,31,29
204,133,82,190,180,172,105,97,105,42,33,31
206,130,77,187,176,165,104,87,88,36,30,31
198,185,172,197,130,92,104,96,103,39,31,29
